ID;IDIOMA;AREA;EQUIPO;VD1;VD7;V1;V2;V3;SA1;SA2;SA3;SI0;SI1;SI2;SP1;SP2;SP3;SF1;SF2;SF3;CL1;CL2;CL3;CH1;CH2;CH3;CE1;CE2;CE3;CB1;CB2;CB3;CD1;CD2;CD3;CJ1;CJ2;CJ3;CC1;CC2;CC3;CI4;CI5;CI6;CCO1;CCO2;CCO3;LS1;LS2;LS3;LA1;LA2;LA3;LA4;LA5;LV1;LG1;LG2;LG3;LD1;LD2;LD3;RET1;RET2;RET3;PS1;PS2;PS4;CINT1;CINT2;CINT3;RS1;RS2;RS3;RC1;RC2;RC3;RC4;E1;E2;E4;E5;E9;E10;E13;E14;E17;E19;E21;E26;E28;EE1;EE2;EE3;EE4;EE5;EE6;CSSC1;CSSC2;TLKS1;TLKS2;TLKS3
125;CASTELLANO;vwbmgqjqnq;rflidbinih;vjekcogdhn;Masculino;4;4;3;5;4;3;4;3;5;3;2;2;4;5;4;4;4;5;5;5;4;5;4;5;3;3;3;3;3;2;;3;2;5;5;5;4;3;4;2;2;1;5;5;5;6;5;5;5;4;5;5;5;5;5;4;3;5;6;6;5;5;5;4;4;4;4;4;5;5;3;3;4;4;4;3;4;4;3;2;2;3;4;3;2;4;4;3;;2;2;3;5;5;4;2;3
138;CASTELLANO;oygcguabiv;rflidbinih;vjekcogdhn;Femenino;2;4;3;5;5;4;4;4;5;2;2;2;5;4;5;5;4;5;3;4;3;3;3;4;4;5;5;4;5;4;4;4;5;5;5;5;4;4;4;4;4;3;5;3;4;3;3;4;5;5;4;5;5;5;5;4;5;4;4;4;4;4;4;4;4;5;4;4;4;4;2;2;4;2;3;2;4;3;3;2;2;3;2;3;1;5;4;3;3;2;4;3;4;5;4;3;4
139;CASTELLANO;vwbmgqjqnq;rflidbinih;vjekcogdhn;Masculino;5;5;5;5;4;4;5;4;5;3;3;3;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;2;2;2;5;5;5;5;4;4;2;2;2;6;6;6;5;6;6;5;6;6;6;6;5;5;5;5;5;5;6;6;4;6;3;6;3;5;5;5;6;5;6;6;5;1;1;4;1;4;1;3;4;1;5;1;6;4;4;4;4;4;4;6;6;6;4;5
3;CASTELLANO;vwbmgqjqnq;oycgfedlgb;pqgwhrmfdu;Femenino;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;5;6;6;6;4;6;6;6;6;6;6;3;3;3;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;4;4;5;5;5;5;5;5;5;5;6;5;6;6;6;4;4;4;5;3;2;2;2;5;3;4;4;6;4;4;4;4;4;4;5;5;5;4;6
4;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Masculino;5;5;4;4;4;2;4;5;6;1;1;1;1;4;1;4;2;5;5;4;4;4;5;5;3;5;6;6;5;5;4;3;3;6;6;6;3;3;1;3;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;CASTELLANO;kdpshksbte;oycgfedlgb;omygfsbzgq;Masculino;5;5;5;6;6;6;4;3;5;1;1;3;4;4;3;5;4;4;5;3;3;4;5;5;5;5;5;4;5;4;5;5;1;5;6;6;6;5;5;2;1;1;6;6;6;5;4;6;6;5;5;4;5;4;5;4;5;6;6;6;6;6;6;4;4;4;5;6;5;6;4;4;6;5;3;1;5;2;4;1;3;4;3;4;1;5;6;6;6;6;6;6;5;5;6;5;5
7;CASTELLANO;kdpshksbte;oycgfedlgb;omygfsbzgq;Masculino;4;5;4;5;5;5;6;5;6;5;4;4;4;5;5;5;4;5;4;4;4;5;5;5;4;5;5;4;4;3;2;2;1;5;5;5;4;4;4;2;3;3;5;5;6;6;5;5;6;6;6;6;5;5;;;;3;3;5;5;3;4;4;3;3;5;5;5;5;5;6;5;5;2;1;4;4;5;1;5;4;2;4;1;4;3;2;3;3;2;2;4;4;5;4;5
11;CASTELLANO;oygcguabiv;oycgfedlgb;vjekcogdhn;Femenino;5;5;6;6;6;6;6;6;5;4;4;5;6;6;6;5;5;5;6;6;6;5;5;;5;5;5;3;3;1;1;1;1;4;6;6;6;6;6;1;1;1;5;4;5;6;5;5;4;6;5;5;3;3;5;5;6;4;5;5;6;6;6;4;3;3;6;6;6;6;6;5;6;5;1;1;5;1;2;1;4;4;1;4;1;6;6;6;6;6;6;6;2;5;6;2;3
13;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Femenino;2;4;2;1;1;2;2;2;4;2;2;1;1;1;1;1;5;5;4;3;1;1;3;2;5;5;6;5;6;6;5;5;4;4;5;5;2;1;2;4;4;2;4;4;2;2;1;1;1;1;1;1;2;1;2;1;1;2;3;4;5;4;3;2;1;1;3;2;3;3;2;2;2;2;5;4;3;4;2;5;2;1;2;4;2;4;6;;6;;;6;5;3;5;1;1
14;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Femenino;4;4;4;4;3;3;4;4;4;1;1;3;4;4;4;4;4;4;4;4;4;4;4;4;2;2;2;2;2;2;2;2;2;6;6;6;5;4;4;2;2;1;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;6;6;6;6;6;6;5;5;5;5;5;5;5;2;4;4;4;2;1;3;2;3;1;4;4;1;4;1;6;6;6;4;3;3;4;6;6;5;5;5
18;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Masculino;2;2;2;5;6;6;4;5;5;4;3;5;4;5;3;5;5;4;5;5;4;5;5;4;6;5;6;6;6;6;6;6;3;5;5;6;5;3;;;;;6;6;6;6;5;6;6;6;6;6;6;6;;;;6;5;6;6;6;6;;;;5;4;6;4;4;4;3;5;5;1;3;4;5;1;1;3;1;3;1;5;4;4;4;4;4;4;6;4;4;4;1
21;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Masculino;4;2;2;5;5;5;4;3;5;2;2;4;4;3;2;4;3;3;4;4;3;4;5;5;5;4;5;4;4;4;3;2;2;5;6;4;4;4;4;2;2;2;5;5;5;5;4;4;4;4;4;5;5;4;5;5;5;4;5;5;5;4;4;4;4;3;5;5;5;4;3;4;4;4;3;2;4;4;2;2;2;3;3;4;2;4;4;6;6;4;6;6;6;6;4;4;3
22;CASTELLANO;vwbmgqjqnq;oycgfedlgb;pqgwhrmfdu;Masculino;2;2;1;2;2;2;2;4;3;1;1;1;1;4;4;1;1;1;1;1;1;1;1;1;6;4;6;3;4;6;5;4;2;1;1;6;1;1;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;6;6;6;2;1;1;1;1;1;1;4;3;2;1;1;6;1;1;6;1;1;1;1;6;1;1;6;6;6;6;1;1;4;6;3;1;1;1
23;CASTELLANO;vwbmgqjqnq;oycgfedlgb;vjekcogdhn;Femenino;5;5;4;5;4;4;4;5;4;;2;3;3;2;4;3;3;3;3;4;4;3;3;4;4;4;4;4;4;4;4;4;4;5;6;6;4;4;4;5;2;2;4;5;4;4;4;5;4;5;4;5;5;4;4;4;4;2;2;2;2;2;4;3;5;5;4;4;4;4;2;2;4;2;3;1;4;3;2;1;2;3;3;3;2;5;3;1;2;5;4;1;1;4;4;2;3
24;CASTELLANO;vwbmgqjqnq;oycgfedlgb;pqgwhrmfdu;Femenino;3;4;3;4;5;4;4;5;5;1;1;1;1;2;1;2;1;1;1;2;1;1;1;2;5;2;3;2;3;3;3;3;2;4;4;4;3;4;3;4;3;3;5;5;4;4;4;4;3;3;3;3;3;3;4;5;5;5;5;5;5;5;4;2;3;3;2;2;2;2;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;3;;;;4;4;4;4;
25;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Masculino;5;5;4;4;4;4;4;4;5;3;1;2;3;4;4;3;3;4;3;3;3;3;3;3;2;2;3;2;3;2;2;2;1;4;4;4;2;2;1;2;2;2;4;4;4;4;2;2;2;2;2;4;4;2;4;4;4;2;2;3;4;3;4;2;3;2;4;5;4;5;5;5;5;3;3;3;3;3;3;3;3;3;3;3;3;3;5;5;5;5;5;5;4;4;5;4;5
26;CASTELLANO;vwbmgqjqnq;oycgfedlgb;vjekcogdhn;Masculino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Masculino;1;2;1;2;2;2;4;3;4;1;1;1;2;2;2;1;1;1;1;1;2;1;2;1;6;5;6;5;5;5;5;5;2;3;5;5;1;1;1;2;2;2;5;5;2;5;1;1;3;1;1;4;3;3;4;2;2;5;3;5;5;5;6;1;1;2;1;3;1;3;1;6;4;2;6;1;1;6;2;4;1;1;6;1;4;2;6;4;3;3;3;4;6;1;2;3;4
37;CASTELLANO;vwbmgqjqnq;oycgfedlgb;ijawrgtfuz;Masculino;5;4;5;3;5;5;6;6;6;1;1;2;5;4;5;6;4;5;4;5;4;6;5;6;4;4;2;3;1;2;2;2;4;6;5;6;6;5;4;1;1;1;6;6;5;4;5;4;5;5;5;6;4;5;4;4;4;2;2;5;2;4;5;5;5;4;4;5;3;5;1;2;6;6;1;1;4;2;4;1;2;4;1;5;1;5;5;4;5;4;5;5;5;6;6;4;1
38;CASTELLANO;oygcguabiv;oycgfedlgb;pqgwhrmfdu;Masculino;6;1;2;6;6;6;1;5;4;1;1;1;1;1;1;2;2;2;2;2;2;2;2;2;2;2;;6;6;6;6;6;5;4;4;4;2;2;2;6;5;4;3;2;2;2;2;2;1;2;2;4;5;4;;;;1;1;2;2;3;3;2;2;2;1;1;1;1;2;5;2;2;4;5;2;4;2;5;2;3;4;3;5;3;5;3;1;2;3;2;5;4;3;1;1
40;CASTELLANO;vwbmgqjqnq;oycgfedlgb;vjekcogdhn;Masculino;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;CASTELLANO;oygcguabiv;oycgfedlgb;vjekcogdhn;Masculino;6;6;4;5;5;5;5;4;5;;;4;5;5;5;5;5;5;5;5;6;4;5;5;5;5;5;2;1;3;3;3;1;5;5;6;6;6;6;1;1;1;6;6;6;6;4;5;6;6;6;6;6;6;5;5;5;5;5;6;6;6;6;3;6;4;5;6;5;6;5;5;6;6;2;1;5;2;6;1;6;5;2;5;1;5;6;6;6;5;6;6;5;5;5;5;4
43;CASTELLANO;vwbmgqjqnq;oycgfedlgb;vjekcogdhn;No binario;5;5;4;6;6;6;4;3;5;3;3;4;5;5;5;4;3;4;4;5;4;3;4;5;4;3;5;2;2;3;2;2;2;5;5;5;4;3;2;2;2;2;5;4;5;4;4;5;4;5;4;5;5;4;6;6;6;5;4;5;5;4;6;4;5;2;6;6;6;6;5;5;6;5;1;1;4;2;4;1;5;5;1;5;1;5;4;3;3;3;3;2;3;4;3;3;6
49;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Masculino;5;4;4;4;3;4;5;3;4;3;3;4;3;4;4;3;3;4;4;4;4;4;3;4;3;4;4;4;4;4;4;4;4;4;3;5;4;4;4;3;3;3;4;4;4;4;3;4;4;5;4;4;4;3;4;4;4;4;4;4;4;4;4;5;4;3;4;4;4;4;5;5;3;4;3;3;4;3;3;3;1;3;2;4;2;4;5;5;;4;5;5;5;4;4;3;4
52;CASTELLANO;vwbmgqjqnq;oycgfedlgb;omygfsbzgq;Masculino;3;3;3;5;5;5;5;5;5;5;5;5;5;5;5;3;3;2;2;2;4;3;3;3;4;4;5;4;3;3;3;3;3;5;4;4;4;4;4;3;3;3;3;4;4;4;3;2;4;4;3;3;3;3;4;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;2;4;5;5;3;5;5;5;3;5;5;5;5;3;5;5;5;5;3;3;3;5;3;4;3;3
54;CASTELLANO;vwbmgqjqnq;oycgfedlgb;pqgwhrmfdu;Masculino;4;3;1;1;1;1;4;5;2;2;2;2;1;3;1;1;1;1;1;1;1;1;1;1;6;6;6;5;5;5;5;5;3;2;2;3;2;2;2;5;5;5;5;3;1;1;1;1;1;1;2;4;6;2;1;1;1;1;1;6;5;5;5;1;4;;1;4;1;4;6;4;4;2;1;1;3;5;1;1;2;1;1;2;1;3;5;3;3;1;1;1;6;4;3;5;5
